gene,selection_prob,mean_abs_coef_when_selected
LOC111130340,0.45,0.014378138277781543
LOC111128874,0.44666666666666666,0.015912416216892766
LOC111119912,0.44333333333333336,0.017732617408027927
LOC111101722,0.43666666666666665,0.012418341483228058
LOC111110970,0.43,0.01326433193038472
LOC111119094,0.42,0.015709029045806545
LOC111108641,0.42,0.013339241659465904
LOC111106275,0.4166666666666667,0.01242636963482311
LOC111103431,0.41,0.01518271456639106
LOC111132049,0.4066666666666667,0.011617445157295353
LOC111113166,0.4033333333333333,0.0118203184081804
LOC111133744,0.38333333333333336,0.013981842621835694
LOC111136748,0.37,0.009979379049969428
LOC111100596,0.36666666666666664,0.018002705470454593
LOC111108173,0.36333333333333334,0.010906848596973806
LOC111114033,0.3466666666666667,0.014873853804384727
LOC111136540,0.3433333333333333,0.011848187380685615
LOC111117897,0.33666666666666667,0.010566628142410332
LOC111121879,0.33666666666666667,0.008299072823854697
LOC111102406,0.32666666666666666,0.01077395010432489
LOC111127210,0.31333333333333335,0.01349600251655877
LOC111122780,0.31333333333333335,0.012344934183471374
LOC111101550,0.31,0.01584663741386129
LOC111131499,0.30666666666666664,0.036434760921385326
LOC111125151,0.2966666666666667,0.013341007558011403
LOC111107487,0.28,0.012178167065894984
LOC111100907,0.2733333333333333,0.012843368263293126
LOC111129003,0.2733333333333333,0.008801791189804667
LOC111106782,0.26666666666666666,0.012097469357687882
LOC111126634,0.25666666666666665,0.015815526826671897
LOC111138262,0.25333333333333335,0.01658812147135881
LOC111125051,0.25333333333333335,0.014510626555415624
LOC111114507,0.25,0.012545777528592764
LOC111107317,0.25,0.00993117016182269
LOC111103928,0.25,0.009372489516719207
LOC111105298,0.25,0.008648723880956088
LOC111121135,0.24666666666666667,0.012700389701266317
LOC111134449,0.24333333333333335,0.011510550607186112
LOC111108792,0.24333333333333335,0.010122612158450967
LOC111128633,0.23666666666666666,0.01655884304833046
LOC111103987,0.23666666666666666,0.00806587957405437
LOC111100119,0.23333333333333334,0.016300853882178484
LOC111138466,0.23333333333333334,0.012050083885870255
LOC111106282,0.23,0.014504301075233081
LOC111109969,0.23,0.012848044167630334
LOC111105271,0.22666666666666666,0.011287273325650183
LOC111137498,0.22,0.013102586924475067
LOC111100619,0.21666666666666667,0.015348564020734045
LOC111101834,0.21666666666666667,0.013816732788224425
LOC111100856,0.21666666666666667,0.009531741156778533
LOC111112175,0.21333333333333335,0.016950109591927554
LOC111104498,0.21333333333333335,0.007841508314333081
LOC111107811,0.21,0.01964340062404863
LOC111119066,0.21,0.01024348700589513
LOC111101472,0.21,0.009674416701703888
LOC111107293,0.20333333333333334,0.01076819233547881
LOC111133465,0.19666666666666666,0.015760814199735483
LOC111119957,0.19666666666666666,0.015306289765829416
LOC111112706,0.19666666666666666,0.0070921780740601644
LOC111103809,0.19,0.010086370774386377
LOC111102229,0.18666666666666668,0.010516114555554333
LOC111137922,0.18,0.0091354701304253
LOC111100549,0.17666666666666667,0.011435098717919132
LOC111101789,0.17,0.01665366477536605
LOC111128143,0.17,0.014093272812094866
LOC111106288,0.17,0.009262327946266309
LOC111113741,0.16666666666666666,0.015579954894056685
LOC111130510,0.16666666666666666,0.01293868730810541
LOC111112658,0.16333333333333333,0.013258570771424472
LOC111131700,0.15666666666666668,0.013871623241302004
LOC111104386,0.15333333333333332,0.011744543417106939
LOC111117385,0.15,0.008576992532117881
LOC111103124,0.14666666666666667,0.007893294554923085
LOC111119455,0.14333333333333334,0.011272734187436318
LOC111115143,0.14333333333333334,0.009646451515281467
LOC111126999,0.14,0.010546605204696597
LOC111117085,0.14,0.009340005232173997
LOC111107587,0.14,0.005899319959768469
LOC111120626,0.13666666666666666,0.008504182738049045
LOC111138514,0.13333333333333333,0.010794621026237124
LOC111102498,0.13,0.012260140475611655
LOC111110661,0.12333333333333334,0.008008982493509731
LOC111120632,0.11666666666666667,0.009871259876103912
LOC111120524,0.11666666666666667,0.00824096534170677
LOC111102363,0.11666666666666667,0.00815778448925373
LOC111119791,0.10666666666666667,0.013948676062474106
LOC111111681,0.10666666666666667,0.011452434961703638
LOC111133390,0.10333333333333333,0.009157091992504505
LOC111136426,0.1,0.008027171068512388
LOC111137425,0.09666666666666666,0.010951106167753404
LOC111106778,0.09666666666666666,0.009675893271143814
LOC111109118,0.09333333333333334,0.01085593418691537
LOC111125928,0.09,0.01042249290573721
LOC111130006,0.09,0.00943922137098
LOC111123448,0.09,0.00666002270328776
LOC111113474,0.08333333333333333,0.015827243920183563
LOC111120175,0.08333333333333333,0.011578026480727269
LOC111100118,0.08333333333333333,0.007765926832729181
LOC111115018,0.08,0.0077018445525923115
LOC111126585,0.08,0.00716272214731242
LOC111111608,0.08,0.007072430233287605
LOC111120858,0.08,0.0070038225825411445
LOC111125732,0.08,0.006721953611670425
LOC111099940,0.07333333333333333,0.008088994371680881
LOC111133640,0.07,0.015045724985806794
LOC111117036,0.07,0.010530482096253155
LOC111118373,0.07,0.008675198390350143
LOC111123617,0.07,0.0053567867361292345
LOC111104479,0.06666666666666667,0.008591731893121731
LOC111109795,0.06,0.0116132827203887
LOC111100842,0.06,0.011476002434333688
LOC111105516,0.06,0.010646096851499144
LOC111118141,0.06,0.01035490438318838
LOC111105083,0.056666666666666664,0.0063097355542694284
LOC111133150,0.056666666666666664,0.0058768285994794745
LOC111099649,0.056666666666666664,0.005088443560207663
LOC111103894,0.05333333333333334,0.010633553804294569
LOC111121537,0.05333333333333334,0.006435052071243964
LOC111133833,0.05,0.010157195401543641
LOC111104358,0.05,0.00920356254281846
LOC111131475,0.05,0.008419599816255306
LOC111116960,0.05,0.008130161253462206
LOC111108556,0.05,0.007716773199096217
