sample,fastq_1,fastq_2,breed,sample_name,treatment
SRX18040013,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040013_SRR22059179_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040013_SRR22059179_2.fastq.gz,ABC_VIMS_Family_2017090,C-162,Dose_1-10-7
SRX18040021,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040021_SRR22059171_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040021_SRR22059171_2.fastq.gz,ABC_VIMS_Family_2017090,C-174,Dose_1-10-7
SRX18040037,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040037_SRR22059152_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040037_SRR22059152_2.fastq.gz,ABC_VIMS_Family_2017090,C-143,Dose_1-10-7
SRX18040045,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040045_SRR22059144_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040045_SRR22059144_2.fastq.gz,ABC_VIMS_Family_2017090,C-158,Dose_1-10-7
SRX18040007,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040007_SRR22059185_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040007_SRR22059185_2.fastq.gz,ABC_VIMS_Family_2017120,I-190,Dose_1-10-7
SRX18040030,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040030_SRR22059159_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040030_SRR22059159_2.fastq.gz,ABC_VIMS_Family_2017120,I-158,Dose_1-10-7
SRX18040039,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040039_SRR22059154_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040039_SRR22059154_2.fastq.gz,ABC_VIMS_Family_2017120,I-143,Dose_1-10-7
SRX18040059,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040059_SRR22059132_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040059_SRR22059132_2.fastq.gz,ABC_VIMS_Family_2017120,I-148,Dose_1-10-7
SRX18040009,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040009_SRR22059183_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040009_SRR22059183_2.fastq.gz,ABC_VIMS_Family_2017084,A-192,Dose_1-10-8
SRX18040018,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040018_SRR22059174_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040018_SRR22059174_2.fastq.gz,ABC_VIMS_Family_2017084,A-214,Dose_1-10-8
SRX18040025,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040025_SRR22059165_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040025_SRR22059165_2.fastq.gz,ABC_VIMS_Family_2017084,A-221,Dose_1-10-8
SRX18040055,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040055_SRR22059135_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040055_SRR22059135_2.fastq.gz,ABC_VIMS_Family_2017084,A-240,Dose_1-10-8
SRX18040017,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040017_SRR22059175_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040017_SRR22059175_2.fastq.gz,ABC_VIMS_Family_2017089,B-239,Dose_1-10-8
SRX18040027,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040027_SRR22059163_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040027_SRR22059163_2.fastq.gz,ABC_VIMS_Family_2017089,B-197,Dose_1-10-8
SRX18040034,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040034_SRR22059156_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040034_SRR22059156_2.fastq.gz,ABC_VIMS_Family_2017089,B-216,Dose_1-10-8
SRX18040043,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040043_SRR22059147_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040043_SRR22059147_2.fastq.gz,ABC_VIMS_Family_2017089,B-228,Dose_1-10-8
SRX18040014,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040014_SRR22059178_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040014_SRR22059178_2.fastq.gz,ABC_VIMS_Family_2017090,C-214,Dose_1-10-8
SRX18040022,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040022_SRR22059170_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040022_SRR22059170_2.fastq.gz,ABC_VIMS_Family_2017090,C-208,Dose_1-10-8
SRX18040052,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040052_SRR22059139_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040052_SRR22059139_2.fastq.gz,ABC_VIMS_Family_2017090,C-210,Dose_1-10-8
SRX18040058,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040058_SRR22059136_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040058_SRR22059136_2.fastq.gz,ABC_VIMS_Family_2017090,C-228,Dose_1-10-8
SRX18040016,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040016_SRR22059176_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040016_SRR22059176_2.fastq.gz,ABC_VIMS_Family_2017120,I-205,Dose_1-10-8
SRX18040024,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040024_SRR22059168_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040024_SRR22059168_2.fastq.gz,ABC_VIMS_Family_2017120,I-230,Dose_1-10-8
SRX18040054,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040054_SRR22059137_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040054_SRR22059137_2.fastq.gz,ABC_VIMS_Family_2017120,I-234,Dose_1-10-8
SRX18040061,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040061_SRR22059130_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040061_SRR22059130_2.fastq.gz,ABC_VIMS_Family_2017120,I-237,Dose_1-10-8
