sample,fastq_1,fastq_2,condition
SRX7172522,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172522_SRR10482873_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172522_SRR10482873_2.fastq.gz,sensitive
SRX7172523,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172523_SRR10482872_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172523_SRR10482872_2.fastq.gz,tolerant
SRX7172524,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172524_SRR10482871_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172524_SRR10482871_2.fastq.gz,sensitive
SRX7172525,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172525_SRR10482870_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172525_SRR10482870_2.fastq.gz,sensitive
SRX7172526,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172526_SRR10482869_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172526_SRR10482869_2.fastq.gz,sensitive
SRX7172527,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172527_SRR10482868_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172527_SRR10482868_2.fastq.gz,sensitive
SRX7172528,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172528_SRR10482867_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172528_SRR10482867_2.fastq.gz,sensitive
SRX7172529,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172529_SRR10482866_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172529_SRR10482866_2.fastq.gz,sensitive
SRX7172530,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172530_SRR10482865_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172530_SRR10482865_2.fastq.gz,sensitive
SRX7172531,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172531_SRR10482864_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172531_SRR10482864_2.fastq.gz,sensitive
SRX7172532,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172532_SRR10482863_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172532_SRR10482863_2.fastq.gz,sensitive
SRX7172533,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172533_SRR10482862_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172533_SRR10482862_2.fastq.gz,sensitive
SRX7172534,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172534_SRR10482861_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172534_SRR10482861_2.fastq.gz,sensitive
SRX7172535,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172535_SRR10482860_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172535_SRR10482860_2.fastq.gz,sensitive
SRX7172536,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172536_SRR10482859_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172536_SRR10482859_2.fastq.gz,sensitive
SRX7172537,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172537_SRR10482858_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172537_SRR10482858_2.fastq.gz,sensitive
SRX7172538,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172538_SRR10482857_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172538_SRR10482857_2.fastq.gz,sensitive
SRX7172539,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172539_SRR10482856_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172539_SRR10482856_2.fastq.gz,tolerant
SRX7172540,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172540_SRR10482855_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172540_SRR10482855_2.fastq.gz,tolerant
SRX7172541,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172541_SRR10482854_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172541_SRR10482854_2.fastq.gz,tolerant
SRX7172542,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172542_SRR10482853_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172542_SRR10482853_2.fastq.gz,tolerant
SRX7172543,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172543_SRR10482852_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172543_SRR10482852_2.fastq.gz,sensitive
SRX7172544,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172544_SRR10482851_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172544_SRR10482851_2.fastq.gz,tolerant
SRX7172545,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172545_SRR10482850_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172545_SRR10482850_2.fastq.gz,tolerant
SRX7172546,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172546_SRR10482849_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172546_SRR10482849_2.fastq.gz,tolerant
SRX7172547,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172547_SRR10482848_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172547_SRR10482848_2.fastq.gz,tolerant
SRX7172548,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172548_SRR10482847_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172548_SRR10482847_2.fastq.gz,tolerant
SRX7172549,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172549_SRR10482846_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172549_SRR10482846_2.fastq.gz,tolerant
SRX7172550,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172550_SRR10482845_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172550_SRR10482845_2.fastq.gz,tolerant
SRX7172551,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172551_SRR10482844_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172551_SRR10482844_2.fastq.gz,sensitive
SRX7172552,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172552_SRR10482843_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172552_SRR10482843_2.fastq.gz,tolerant
SRX7172553,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172553_SRR10482842_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172553_SRR10482842_2.fastq.gz,tolerant
SRX7172554,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172554_SRR10482841_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172554_SRR10482841_2.fastq.gz,sensitive
SRX7172555,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172555_SRR10482840_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172555_SRR10482840_2.fastq.gz,tolerant
SRX7172556,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172556_SRR10482839_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172556_SRR10482839_2.fastq.gz,tolerant
SRX7172557,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172557_SRR10482838_1.fastq.gz,/mmfs1/gscratch/scrubbed/elstrand/Cvir_disease_meta/dataset5/fastq/SRX7172557_SRR10482838_2.fastq.gz,sensitive
