seed,batch,n_test,auroc,aupr,brier,log_loss,cal_slope,cal_intercept
12362,P&S 2020 2015,4,1.0,1.0,1.3296441955846229e-09,2.2579863740185646e-05,1.1065113767266843,-0.006415451007054218
12363,P&S 2020 2015,4,1.0,1.0,6.72301652425536e-12,1.361066096814312e-06,1.0,0.0
12364,P&S 2020 2015,4,1.0,1.0,5.5865937508763584e-14,1.7563814237429887e-07,1.0,0.0
12365,P&S 2020 2015,4,1.0,1.0,1.0923659424699e-09,2.2854017759838073e-05,1.1050930988652252,-0.010517868469309414
12366,P&S 2020 2015,4,1.0,1.0,1.6639122084411158e-13,3.4718267292840737e-07,1.0,0.0
12367,P&S 2020 2015,4,1.0,1.0,4.466125750690704e-13,4.23845886234445e-07,0.9999999999999999,0.0
12368,P&S 2020 2015,4,1.0,1.0,2.179207997841688e-08,7.4247189663958e-05,1.299140063791245,0.03684257799370521
12369,P&S 2020 2015,4,1.0,1.0,6.52818874708463e-13,5.528847544553387e-07,1.0,0.0
12370,P&S 2020 2015,4,1.0,1.0,9.31648444309136e-12,1.6325329833961553e-06,0.9999999999999999,0.0
12371,P&S 2020 2015,4,1.0,1.0,3.2646953215711563e-09,2.8636710741640616e-05,1.1146444562353641,-0.012602072902211173
12372,P&S 2020 2015,4,1.0,1.0,2.968828461709001e-13,2.9196544704595465e-07,1.0,0.0
12373,P&S 2020 2015,4,1.0,1.0,3.088302557554585e-10,8.822080422928275e-06,1.0,0.0
12374,P&S 2020 2015,4,1.0,1.0,5.0637319143456725e-14,2.082342299758735e-07,1.0,0.0
12345,P&S 2020 2017,2,1.0,1.0,9.238095927720338e-09,8.563621418645001e-05,1.258882811420359,-0.016866222034773323
12346,P&S 2020 2017,2,1.0,1.0,1.0275692434186183e-09,2.2667831435377972e-05,1.1163550659349446,0.011634136908177124
12347,P&S 2020 2017,2,1.0,1.0,0.00012292125320289649,0.007901794032415158,2.3776678742945037,0.33408642379544584
12348,P&S 2020 2017,2,1.0,1.0,4.4316322186989494e-09,5.68338333579823e-05,1.190046202633508,-0.013348393773214784
