Sample,infection,BREED,treatment,Trait,tissue,collection_time,Collection_Date,BioProject,Gene,Count,log_CPM
SRX9845539,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/1/2015,PRJNA691949,17590,118.97789890001536,2.0754662951975664
SRX9845534,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/26/2015,PRJNA691949,17590,101.27006839885755,2.0054811033065105
SRX9845523,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,17590,45.807420990142965,1.660935841191514
SRX9845512,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,17590,102.45574200583476,2.0105363029184633
SRX9845511,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,17590,80.44233534830522,1.9054846702558819
SRX9845510,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,6/26/2015,PRJNA691949,17590,87.2505020360223,1.9407679345520992
SRX9845509,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,17590,108.38023697101805,2.0349500962527975
SRX9845508,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,17590,65.97513415518051,1.8193802819962235
SRX9845507,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,17590,91.9011822650522,1.9633210984142466
SRX9845506,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,17590,183.34176980709736,2.2632614193002376
SRX9845505,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,17590,105.18217974081251,2.021942166663765
SRX9845504,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,6/26/2015,PRJNA691949,17590,176.91129441137622,2.2477555601225974
SRX9845503,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,17590,96.45374605554176,1.9843190993687867
SRX9845502,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,17590,173.30436487211668,2.238809501063613
SRX9845501,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/26/2015,PRJNA691949,17590,79.0829741628422,1.8980829939524824
SRX9845500,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/1/2015,PRJNA691949,17590,108.12097435961412,2.033909950799321
