gene,selection_prob,mean_abs_coef_when_selected
LOC111100870,0.0,0.0
LOC111121392,0.0,0.0
LOC111122420,0.0,0.0
LOC111117351,0.0,0.0
LOC111138048,0.0,0.0
LOC111136715,0.0,0.0
LOC111116629,0.0,0.0
LOC111099202,0.0,0.0
LOC111128031,0.0,0.0
LOC111114909,0.0,0.0
LOC111136724,0.0,0.0
LOC111107094,0.0,0.0
LOC111125936,0.0,0.0
LOC111100326,0.0,0.0
LOC111129794,0.0,0.0
LOC111109447,0.0,0.0
LOC111106311,0.0,0.0
LOC111110600,0.0,0.0
LOC111104526,0.0,0.0
LOC111112892,0.0,0.0
LOC111114482,0.0,0.0
LOC111125928,0.0,0.0
LOC111114844,0.0,0.0
LOC111100399,0.0,0.0
LOC111124796,0.0,0.0
LOC111109277,0.0,0.0
LOC111104478,0.0,0.0
LOC111117456,0.0,0.0
LOC111125909,0.0,0.0
LOC111135868,0.0,0.0
LOC111103521,0.0,0.0
LOC111123667,0.0,0.0
LOC111103797,0.0,0.0
LOC111137745,0.0,0.0
LOC111119103,0.0,0.0
LOC111100087,0.0,0.0
LOC111104792,0.0,0.0
LOC111101926,0.0,0.0
LOC111136239,0.0,0.0
LOC111113350,0.0,0.0
LOC111137463,0.0,0.0
LOC111112879,0.0,0.0
LOC111101367,0.0,0.0
LOC111101779,0.0,0.0
LOC111124579,0.0,0.0
LOC111104060,0.0,0.0
LOC111119564,0.0,0.0
LOC111130287,0.0,0.0
LOC111122243,0.0,0.0
LOC111109656,0.0,0.0
LOC111135866,0.0,0.0
LOC111111518,0.0,0.0
LOC111125738,0.0,0.0
LOC111116860,0.0,0.0
LOC111107596,0.0,0.0
LOC111112746,0.0,0.0
LOC111121218,0.0,0.0
LOC111105761,0.0,0.0
LOC111124187,0.0,0.0
LOC111100418,0.0,0.0
LOC111102572,0.0,0.0
LOC111110616,0.0,0.0
LOC111116249,0.0,0.0
LOC111099586,0.0,0.0
LOC111113437,0.0,0.0
LOC111119949,0.0,0.0
LOC111107144,0.0,0.0
LOC111110770,0.0,0.0
LOC111118506,0.0,0.0
LOC111123069,0.0,0.0
LOC111126784,0.0,0.0
LOC111119348,0.0,0.0
LOC111126719,0.0,0.0
LOC111133813,0.0,0.0
LOC111113917,0.0,0.0
LOC111136109,0.0,0.0
LOC111138376,0.0,0.0
LOC111103517,0.0,0.0
LOC111101188,0.0,0.0
LOC111104125,0.0,0.0
LOC111137952,0.0,0.0
LOC111108415,0.0,0.0
LOC111103155,0.0,0.0
LOC111106055,0.0,0.0
LOC111105419,0.0,0.0
LOC111105328,0.0,0.0
LOC111103273,0.0,0.0
LOC111130758,0.0,0.0
LOC111099110,0.0,0.0
LOC111103285,0.0,0.0
LOC111125526,0.0,0.0
