gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111111255	25.5307233	3.190944	0.68471405	5.382395e-08	1.892349e-06
LOC111111257	24.47336622	-7.458275	0.81601519	5.098376e-21	1.700308e-18
LOC111111289	18.02274379	1.65086	0.90339676	0.0007940908	0.006956117
LOC111111303	39.87726291	-1.128811	0.69604916	0.002478689	0.0172166
LOC111111314	27.80453586	1.889581	0.3913145	3.510195e-08	1.294558e-06
LOC111111320	15.62240263	-5.565138	0.71066298	9.81358e-16	1.497373e-13
LOC111111333	23.13547919	-1.768561	0.56434166	2.895498e-05	0.0004420889
LOC111111369	13.86185075	3.21107	0.77898886	5.706097e-07	1.488367e-05
LOC111111372	6.73563849	1.935423	0.50229776	2.186615e-06	4.683168e-05
LOC111111374	23.8418174	1.485696	0.28757241	8.464965e-09	3.707591e-07
LOC111111377	13.51926455	1.44371	0.40856062	1.144016e-05	0.0001945161
LOC111111381	60.44070563	7.104409	1.86322011	1.651125e-06	3.678007e-05
LOC111111394	57.61967224	-1.228978	0.35415178	1.84042e-05	0.0002956659
LOC111111397	22.80604794	5.946218	2.03502987	2.007789e-05	0.0003184229
LOC111111440	7.40867647	2.774298	1.16809677	0.00011915	0.001478765
LOC111111458	50.12827562	-3.633679	0.59471943	3.82847e-11	2.846358e-09
LOC111111464	140.72235541	-1.654255	0.66719272	0.0001872002	0.002151742
LOC111111492	24.42433722	-1.403431	0.60275513	0.0003668615	0.003733384
LOC111111494	50.9752703	-1.883996	1.52943004	0.002223605	0.01581178
LOC111111518	85.39054167	-8.245411	1.08546086	1.133889e-15	1.675358e-13
LOC111111536	29.78344999	-1.31047	0.40632563	3.72042e-05	0.0005462466
LOC111111540	55.08727762	1.09981	0.40308381	0.0002159436	0.002410905
LOC111111550	17.14198064	-1.372956	0.35198361	3.12881e-06	6.373654e-05
LOC111111576	9.81028157	5.751189	1.44547883	2.341084e-06	4.97294e-05
LOC111111608	15.10844922	2.102892	0.56189398	2.78494e-06	5.80486e-05
LOC111111611	21.19181106	-2.452146	0.4487	6.757191e-10	3.894979e-08
