gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111118401	355.3665	-0.003452167	0.19725445	0.9721781	0.9858908
LOC111118402	152.9153	0.2077003	0.11292165	0.01446405	0.06142843
LOC111118404	320.6589	0.2006537	0.10147646	0.0115963	0.05197416
LOC111118405	46.76728	0.09467186	0.16633643	0.3253706	0.5232334
LOC111118406	135.6191	0.05794183	0.07681816	0.3578315	0.5544906
LOC111118407	604.0143	0.1392167	0.13700501	0.1264543	0.2838179
LOC111118408	61.37121	-0.05489748	0.21481214	0.597324	0.7514835
LOC111118410	30.99316	0.1926634	0.18206605	0.07365637	0.1982418
LOC111118411	25.33399	0.4194136	0.25387859	0.006184085	0.03232907
LOC111118412	118.1624	0.1524824	0.12642655	0.08374429	0.2164351
LOC111118413	225.8912	0.06446926	0.08967901	0.3604763	0.5569901
LOC111118415	156.2475	0.06357275	0.11713773	0.4381139	0.6264294
LOC111118416	338.8799	-0.1134481	0.14947411	0.2239942	0.4134945
LOC111118417	88.44405	0.002823766	0.10980122	0.9714186	0.9855781
LOC111118418	61.49363	-0.09202926	0.11448537	0.2605319	0.4550114
LOC111118419	68.63891	-0.5718865	0.23124327	0.0005344111	0.004638093
LOC111118420	80.10766	0.07463057	0.17157713	0.4377003	0.6262259
LOC111118421	95.98064	-0.005002719	0.10353895	0.9478718	0.9711847
LOC111118422	47.26751	0.1529829	0.14466421	0.104308	0.2506631
LOC111118423	7.396353	0.3275634	0.49734136	0.06962539	0.1908979
LOC111118424	73.83885	-0.05126706	0.12968068	0.5480609	0.7159734
LOC111118425	100.5727	0.08520774	0.0904459	0.2309758	0.421776
LOC111118426	40.86398	0.01603788	0.14503987	0.8556921	0.9178117
LOC111118427	7.786157	-0.05450406	0.1459209	0.5422494	0.7115632
LOC111118428	1260.544	-0.1833671	0.11103162	0.0277177	0.09881142
LOC111118429	507.9078	0.1194688	0.11025212	0.139908	0.3034188
LOC111118430	230.3977	0.0250887	0.10421277	0.7440879	0.8510576
LOC111118431	384.0137	-0.04807764	0.10713876	0.5386618	0.709314
LOC111118432	104.9081	-0.4753321	0.2161098	0.001240443	0.009061822
LOC111118433	19.80927	-0.2355	0.19684493	0.04163369	0.1324352
LOC111118434	51.43028	0.1861295	0.1418224	0.050276	0.151472
LOC111118435	1139.282	-0.1921152	0.08144207	0.005201056	0.02822426
LOC111118436	73.01129	-0.9240923	0.38553482	0.0004380027	0.003938179
LOC111118437	423.0996	0.1076333	0.09800944	0.1529123	0.3217965
LOC111118438	58.34068	0.1015023	0.09362066	0.1646349	0.3383191
LOC111118439	160.379	-0.1792966	0.10209828	0.02355186	0.08777845
LOC111118440	96.66424	0.06738021	0.08284131	0.3126215	0.5107288
LOC111118441	338.7261	-0.07901743	0.07515499	0.2034195	0.3881884
LOC111118442	98.63154	0.008978343	0.10331674	0.906496	0.9481527
LOC111118443	51.65064	0.1790003	0.20301999	0.1097996	0.2588748
LOC111118444	548.2073	-0.04756907	0.10676278	0.5421941	0.7115632
LOC111118445	80.01808	-0.01047532	0.08640819	0.8786846	0.9312954
LOC111118446	138.995	0.4169198	0.21412113	0.002822376	0.01744645
LOC111118447	498.0448	-0.1224757	0.13249254	0.1683015	0.3428068
LOC111118449	11.23598	-0.2413411	0.22097219	0.04941016	0.1497112
LOC111118450	913.4915	-0.2644273	0.17685624	0.01814394	0.07277276
LOC111118451	21.31639	-0.0003433891	0.17315945	0.997086	0.9982061
LOC111118452	119.2389	-0.008615913	0.06112437	0.8693194	0.9260818
LOC111118453	123.6476	0.009852588	0.09408208	0.8918649	0.9397282
LOC111118456	136.872	-0.03159989	0.08987156	0.6537717	0.7909961
LOC111118457	152.5947	0.08166162	0.13544392	0.3532534	0.5505276
LOC111118458	23.12294	0.4423673	0.31293414	0.0105247	0.04819268
LOC111118459	168.6084	-0.001223661	0.08184808	0.9852307	0.9922813
