gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
LOC111106443	248.19049175	0.2918621	0.31782967	0.07545423	0.2167096
LOC111106444	234.51252113	-0.8753519	0.2463095	2.981593e-05	0.0004537502
LOC111106448	11.99247106	0.05827104	0.34978542	0.6906287	0.8391571
LOC111106449	26.64744242	0.0442679	0.14421045	0.6046733	0.782746
LOC111106450	122.57557338	0.4629217	0.31870025	0.01474939	0.06754589
LOC111106451	161.07081893	-0.002205256	0.16853308	0.9816662	0.9917891
LOC111106452	54.08232357	0.4560626	0.24641737	0.006050058	0.03446525
LOC111106455	65.95484775	0.2350125	0.25716359	0.09080978	0.2454753
LOC111106458	133.46083003	0.230645	0.2214327	0.06749002	0.2006565
LOC111106460	37.36786025	2.007801	1.19725152	0.0007979276	0.006979251
LOC111106461	54.4452725	-0.2634585	0.23229582	0.04913551	0.1593815
LOC111106462	44.77140198	0.05962464	0.15300262	0.5039217	0.7123578
LOC111106464	16.85620988	0.3928505	0.30725714	0.02554515	0.1007736
LOC111106465	15.07214019	0.4253175	0.42706	0.04187652	0.1427998
LOC111106466	24.10785521	0.0953152	0.31160102	0.5029386	0.7117735
LOC111106467	563.45168102	-0.2955315	0.27290953	0.05125068	0.1641847
LOC111106468	4995.98918429	-0.02808395	0.16358046	0.7646501	0.8826435
LOC111106469	65.32181292	-0.02340494	0.41898553	0.8765468	0.9411463
LOC111106473	24.30669264	1.905253	0.82191212	0.0002102388	0.002355099
LOC111106474	259.14552559	-0.2155382	0.3116975	0.1589011	0.3538968
LOC111106475	118.36771118	-0.30559	0.26515088	0.04231121	0.1437571
LOC111106476	6.13289238	0.1737114	0.43025528	0.301364	0.5296797
LOC111106477	26.23201384	-0.1130951	0.59766523	0.4888809	0.7017408
LOC111106479	52.0333329	0.1969274	0.2419808	0.1294882	0.3103594
LOC111106483	75.49841744	0.03256366	0.15225521	0.7144411	0.8545254
LOC111106484	27.30968172	-0.007503849	0.31649537	0.9571992	0.9796499
