"sample","fastq_1","fastq_2","strandedness"
"SRX9845521","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845521_SRR13430588_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845521_SRR13430588_2.fastq.gz","auto"
"SRX9845522","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845522_SRR13430587_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845522_SRR13430587_2.fastq.gz","auto"
"SRX9845523","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845523_SRR13430586_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845523_SRR13430586_2.fastq.gz","auto"
"SRX9845524","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845524_SRR13430585_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845524_SRR13430585_2.fastq.gz","auto"
"SRX9845525","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845525_SRR13430584_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845525_SRR13430584_2.fastq.gz","auto"
"SRX9845526","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845526_SRR13430583_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845526_SRR13430583_2.fastq.gz","auto"
"SRX9845527","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845527_SRR13430582_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845527_SRR13430582_2.fastq.gz","auto"
"SRX9845528","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845528_SRR13430581_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845528_SRR13430581_2.fastq.gz","auto"
"SRX9845529","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845529_SRR13430580_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845529_SRR13430580_2.fastq.gz","auto"
"SRX9845530","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845530_SRR13430579_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845530_SRR13430579_2.fastq.gz","auto"
"SRX9845531","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845531_SRR13430578_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845531_SRR13430578_2.fastq.gz","auto"
"SRX9845532","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845532_SRR13430577_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845532_SRR13430577_2.fastq.gz","auto"
"SRX9845533","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845533_SRR13430576_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845533_SRR13430576_2.fastq.gz","auto"
"SRX9845534","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845534_SRR13430575_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845534_SRR13430575_2.fastq.gz","auto"
"SRX9845535","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845535_SRR13430574_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845535_SRR13430574_2.fastq.gz","auto"
"SRX9845536","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845536_SRR13430573_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845536_SRR13430573_2.fastq.gz","auto"
"SRX9845537","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845537_SRR13430572_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845537_SRR13430572_2.fastq.gz","auto"
"SRX9845538","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845538_SRR13430571_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845538_SRR13430571_2.fastq.gz","auto"
"SRX9845539","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845539_SRR13430570_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845539_SRR13430570_2.fastq.gz","auto"
"SRX9845540","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845540_SRR13430569_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845540_SRR13430569_2.fastq.gz","auto"
"SRX9845541","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845541_SRR13430568_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845541_SRR13430568_2.fastq.gz","auto"
"SRX9845542","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845542_SRR13430567_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845542_SRR13430567_2.fastq.gz","auto"
"SRX9845543","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845543_SRR13430566_1.fastq.gz","/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX9845543_SRR13430566_2.fastq.gz","auto"
