gene_id	SRX18040005	SRX18040006	SRX18040007	SRX18040008	SRX18040009	SRX18040011	SRX18040012	SRX18040013	SRX18040014	SRX18040016	SRX18040017	SRX18040018	SRX18040020	SRX18040021	SRX18040022	SRX18040024	SRX18040025	SRX18040026	SRX18040027	SRX18040028	SRX18040029	SRX18040030	SRX18040032	SRX18040033	SRX18040034	SRX18040035	SRX18040036	SRX18040037	SRX18040038	SRX18040039	SRX18040040	SRX18040041	SRX18040043	SRX18040044	SRX18040045	SRX18040046	SRX18040047	SRX18040048	SRX18040050	SRX18040052	SRX18040054	SRX18040055	SRX18040056	SRX18040058	SRX18040059	SRX18040060	SRX18040061	SRX18040062	SRX18040064	SRX18040004	SRX18040010	SRX18040015	SRX18040019	SRX18040023	SRX18040031	SRX18040042	SRX18040049	SRX18040051	SRX18040053	SRX18040057	SRX18040063
LOC111117019	4.17082207	3.93732983	5.27541431	5.33294866	1.32667308	4.30185102	4.06336553	3.723169	7.3653648	5.46597071	5.03532901	1.32667308	3.84116789	5.85918284	5.35755982	7.43215562	3.63813992	5.4427402	1.32667308	7.62181688	7.33079591	4.26234537	5.94178026	4.10563937	4.05403115	5.4188567	3.99910786	5.64848562	6.26603368	5.55975952	6.18685414	2.09105081	5.15777836	7.06143605	7.20191529	5.46250856	5.05673023	4.41178227	4.36219602	5.86808129	6.54486816	3.77107502	2.79659585	7.55270785	5.09954569	6.07597089	6.81369047	3.29676117	4.63845772	2.92745507	3.07249087	4.13373101	4.14567121	4.63391087	4.49946085	4.22646033	3.61887947	4.1194217	4.05479774	3.98855876	4.01749675
LOC111117602	6.35169112	3.28194832	8.46205273	3.85875691	4.97403829	5.87218122	6.48371695	2.20685454	10.1800998	7.72415162	1.32667308	6.32024265	5.5187906	2.63669136	8.26814603	6.94621561	3.96406232	8.50633715	4.45518978	7.27408501	8.70520505	1.32667308	4.32097008	5.53016261	5.8381706	6.67529683	7.04034958	8.95519985	8.16159833	7.69841714	6.87670906	5.7906091	2.38184991	10.4493233	6.73066395	6.94731949	1.32667308	4.55904562	2.07460847	7.90191228	7.89325182	7.20074406	5.67226375	10.3404068	8.10588729	6.89324969	8.95560966	7.21443231	8.33651739	2.48610834	4.97517849	4.68526039	5.1753533	1.88896873	6.57470925	1.32667308	6.38869917	6.35918603	6.75149946	6.76267161	5.71288856
LOC111117620	5.77983861	6.76191674	5.59820467	4.44236935	3.30542286	5.57944004	6.76595301	8.24098201	8.07251262	8.63756014	6.03988058	4.45051658	6.19400787	3.97143224	4.9365585	8.46562955	5.61057463	4.61261426	5.24137647	8.28484186	5.52150745	9.07782298	5.0150224	6.93479941	5.9156528	4.61702894	5.78770742	8.53320947	8.86198135	4.29426561	6.02408209	5.54485348	3.52126466	8.4219934	8.2939605	5.35562802	5.57192292	6.00898545	7.10872774	6.51974878	5.9871005	5.00497637	5.71193901	3.92367187	8.8258267	5.26132604	4.65637854	8.75724821	6.198025	5.49314084	6.69781973	5.73493152	6.3475601	5.44156904	5.85964061	5.52094044	4.18246799	5.81268744	6.27528278	4.03158531	5.19592571
LOC111118107	6.57019576	6.22058778	6.88124965	6.92158584	6.83499478	6.36136539	5.36100049	5.56230649	4.98345792	7.23342734	5.10633684	7.54728058	7.02043004	5.33224755	5.16251431	6.6077259	7.27811252	7.22125676	7.25415858	3.88474491	6.33382078	6.67582208	8.43402056	6.27942222	7.65529672	4.61702894	7.78765826	5.54965053	4.43337195	5.89805326	7.07668364	8.32497049	5.754677	5.17664019	4.50342274	6.08056702	6.49688751	6.93571163	5.89168156	4.58089219	6.46211178	7.2338254	8.23583092	4.85636316	6.32410025	4.49863159	4.73063297	6.0829894	6.89610094	4.38904874	5.41798883	4.71535831	4.98938699	5.63373721	7.09698472	4.22646033	4.86698596	4.44818813	4.56491547	5.08331476	6.00812313
LOC111121560	12.66330757	11.55911102	10.88357024	11.84774737	11.70796517	11.2394649	12.03817401	8.50082139	10.02919956	11.44058155	12.89165691	12.33395823	11.85787279	11.84309893	11.29278479	11.04940529	11.62096488	11.52907213	11.04781839	10.76979913	12.08937115	10.92442068	13.91093763	11.50042626	11.40387545	9.67235589	11.30035883	9.05141079	11.53590595	10.23948971	12.67697019	11.92010048	11.46224777	9.2798954	9.83346831	11.04219442	11.14178762	11.57238062	11.79126228	9.25420686	11.05024614	12.16348135	11.7466661	11.20451225	11.18818631	10.06691158	11.10751704	10.69496116	12.22406736	10.25891326	10.7275957	9.5970604	10.58475411	9.99903856	10.59083346	10.4581509	9.05399076	9.17613257	9.69559264	9.83783996	10.58984134
LOC111122010	6.46508291	5.57715163	8.31997892	7.39259376	6.07309025	6.7832215	5.36100049	7.59062082	10.148886	5.75641695	9.4531344	6.9893558	5.0915064	7.56040791	9.23186848	5.03467754	6.71582693	8.4093277	5.49260568	9.91644877	4.92384156	7.21123713	8.21402386	8.32238521	7.15962398	10.91822582	6.6075151	10.16603476	6.8201592	5.31039141	7.98518067	5.89932946	6.43122696	10.21126202	9.17779778	4.65311212	6.74335906	6.75634275	5.07826069	7.51284444	4.81755039	6.71452006	6.17608585	6.57865851	6.50749354	10.11999676	10.74563625	5.62122468	7.43326248	7.12916859	4.23956591	4.52433714	3.90967487	4.15236299	6.7404629	3.72010972	8.08547109	8.80490781	4.35574345	6.85326266	7.13509578
LOC111124351	5.37716383	5.52199353	7.05763971	4.85311282	5.44010597	5.44328905	5.52185378	7.485999	7.16020773	5.95273505	4.79822581	3.93692363	5.79770642	5.33224755	6.36416873	7.25828352	5.26463297	6.13643869	6.67883665	6.22389443	7.78331737	6.24091429	4.07652493	5.62043992	6.39816006	7.07877808	5.63069354	5.90974232	6.32803658	6.91442135	5.16551823	6.03257439	5.89757064	4.96320132	7.27538236	6.91014981	4.74255265	6.00898545	5.10755973	7.39663505	6.18080025	5.32586242	4.81755087	5.41385557	6.73461001	4.76124424	7.50607798	8.1334206	5.36178318	6.87973476	6.51368229	8.45106848	7.32710098	8.1298929	7.83144563	7.1399813	7.81667841	7.74264881	7.90812766	7.64418275	8.67443398
LOC111125286	7.77143668	5.57715163	10.1567153	6.29764775	6.53988878	6.96780269	5.07972891	7.95774971	10.77734418	10.92901539	4.4040498	7.44456578	8.29111692	8.75601602	8.82698161	10.27197349	9.55209387	7.77728529	9.16187537	8.33768845	9.84990174	11.19593091	8.61364764	6.70708813	7.38307807	8.46937037	8.77934876	10.32474204	10.54704586	11.2140143	9.96373266	6.32000435	5.59598214	9.5511768	10.29736702	9.8175697	7.81298108	7.10313567	3.19453854	7.54439688	10.71629306	10.66755048	5.97899985	8.90933809	8.45402547	7.09534891	7.60229244	10.94040047	7.4106636	7.40859061	4.86145675	7.12209511	6.42264099	4.80443833	8.67256727	5.4512065	7.55533769	6.01287024	8.40875058	6.14103633	6.91067328
LOC111125900	6.16286998	5.91331845	9.16403547	6.76104284	6.46687357	6.6660588	7.84325768	7.15654702	10.25119241	10.97765589	6.47332707	7.59601882	7.61597855	6.70866017	8.33310179	8.60532361	6.71582693	7.20592974	5.62460201	7.34033945	7.90912781	8.58900786	7.07566663	6.64644211	9.22090424	8.18063819	7.31509994	6.28185984	7.38400914	8.62761067	6.22482478	7.60922555	4.97574817	8.3797693	6.81522984	7.744314	7.87789203	6.80575133	6.40785214	6.50377779	8.40587451	9.16376952	7.12648524	8.79623959	9.56678518	8.86830451	10.107772	8.77530884	6.84643677	6.90053129	7.32253867	7.46701069	5.85630596	7.29114952	8.06547854	4.30873411	6.69370931	5.44122513	6.93377928	7.54984619	6.59762994
LOC111126669	4.41971072	4.98196592	7.27614425	5.33294866	5.6128543	4.45298478	3.83159121	6.25153854	7.71145799	7.19521214	5.03532901	4.13002145	5.84753268	3.47142221	5.21382569	6.15713124	5.69824508	4.35567046	4.63439208	5.64320968	3.43582071	6.39402411	3.93592433	4.71528368	3.74070754	4.15787128	3.5595269	5.67997397	5.70493661	3.4119528	4.59465192	5.37928924	4.43003234	7.09663139	5.47911068	4.23274549	4.24121291	4.24722622	4.5459787	5.39970468	4.88307193	5.19705271	3.93002411	8.99725298	5.88668712	3.75315415	4.45163049	5.70420815	4.98526586	4.44750903	4.83154637	3.65262369	4.6799453	4.0869593	3.78036867	4.04567569	3.55373712	3.31499603	2.86961642	2.99623903	2.64634425
