gene_id,n_analyses,analyses
LOC111104149,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104249,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104281,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104302,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104316,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104401,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104421,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104430,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104451,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104467,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104489,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104490,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104499,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104516,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104518,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104529,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104586,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104680,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104697,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104793,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104803,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104814,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111104860,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111105148,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111105221,2,ds1-5_allDEGs_merged; top_50_predictive_genes_for_classification
LOC111105269,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111105440,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111105573,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111105700,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111105708,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111105710,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111105739,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111105761,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111105831,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111105869,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111105882,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111105900,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111105920,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106031,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106036,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106114,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106183,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106233,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106242,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106251,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106255,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106267,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106288,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106304,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106355,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106371,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106506,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106531,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106605,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106625,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106630,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106631,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106673,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106749,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106836,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106857,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106871,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111106882,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107019,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107029,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107067,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107130,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107160,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107163,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107173,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107233,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107234,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107278,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107289,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107360,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107542,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107547,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107550,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107660,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107695,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107747,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107835,2,cross_study_DEG_comparison; top_50_predictive_genes_for_classification
LOC111107840,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107891,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111107967,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108010,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108022,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108102,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108103,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108126,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108132,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108143,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108179,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108185,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108225,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108408,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108418,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108439,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108446,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108494,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108500,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108589,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108596,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108650,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108670,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108724,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108763,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108770,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108781,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108929,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111108994,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111109131,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111109165,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111109242,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111109321,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111109404,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111109418,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111109439,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111109496,2,final_panel_gene_list; top_50_predictive_genes_for_classification
LOC111109520,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111109544,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111109596,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111109627,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111109647,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111109667,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111109685,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111109702,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111109768,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111109934,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110004,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110008,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110040,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110063,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110090,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110096,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110104,2,ds1-5_allDEGs_merged; final_consensus_genes
LOC111110148,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110174,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110280,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110296,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110318,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110347,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110442,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110446,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110518,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110540,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110616,2,cross_study_DEG_comparison; top_50_predictive_genes_for_classification
LOC111110677,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110683,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110793,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110798,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110802,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110804,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110811,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110920,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110929,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111110953,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111023,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111056,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111104,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111106,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111122,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111127,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111163,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111206,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111234,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111297,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111304,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111314,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111343,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111464,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111546,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111548,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111586,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111610,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111668,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111695,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111741,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111813,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111816,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111835,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111855,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111860,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111879,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111886,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111111932,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111112028,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
LOC111112114,2,cross_study_DEG_comparison; ds1-5_allDEGs_merged
