Row.names,logFC,logCPM,LR,PValue,FDR,Protein.Name
gene35475,-0.149751304,5.889604074,0.058645111,0.808650357,0.991315755,uncharacterized protein LOC111112093
gene35476,-0.900550784,4.85328243,3.455822723,0.06302936,0.771175114,"POU domain, class 6, transcription factor 1-like"
gene35477,0.446554147,4.824024332,1.50916621,0.219266359,0.911328652,vacuolar protein sorting-associated protein 41 homolog isoform X1
gene35480,-1.363339572,2.934352053,1.578508377,0.208975681,0.905319868,uncharacterized protein LOC111113294 isoform X1
gene35483,0.116293458,6.171571943,0.053756851,0.816650453,0.992241237,reversion-inducing cysteine-rich protein with Kazal motifs-like
gene35485,0.453661419,5.991403719,2.238337412,0.134625665,0.863321167,uncharacterized protein LOC111114601
gene35486,1.49757477,4.10232753,6.141402744,0.013205252,0.523048548,uncharacterized protein LOC111110883 isoform X1
gene355,-0.207608658,11.53580094,0.511408484,0.474529769,0.95721304,40S ribosomal protein S8-like
gene3550,0.114634919,4.227751676,0.023252982,0.878801041,0.993795637,toll-like receptor 4
gene35502,1.274606298,5.033819921,5.417537925,0.019935452,0.572924791,parathyroid hormone/parathyroid hormone-related peptide receptor-like isoform X1
gene35503,0.594340746,4.342306433,1.550898593,0.213002833,0.908487414,uncharacterized protein LOC111115718
gene35504,0.114380354,8.840551234,0.226586385,0.634066607,0.981107713,ADP-ribosylation factor 2
gene35507,-0.331810722,3.697426808,0.212031026,0.645180143,0.981107713,uncharacterized protein LOC111115979 isoform X1
gene35509,-0.014162938,4.310419811,0.000536574,0.981519395,0.998583323,uncharacterized protein LOC111115796
gene3551,0.733742131,4.421928248,1.594758809,0.206647548,0.905319868,toll-like receptor 4
gene35510,-0.060282885,5.744005765,0.03975267,0.841964943,0.992241237,partitioning defective 3 homolog isoform X1
gene35512,1.635303974,5.299030052,6.317317183,0.011956439,0.517523202,uncharacterized protein LOC111112748
gene35514,0.014917702,4.183286571,0.000672886,0.979305164,0.998340714,cytochrome P450 20A1-like
gene35521,0.856020709,2.808392587,0.571454686,0.449681441,0.956091449,uncharacterized protein LOC111115589
gene35524,0.184043022,3.230484622,0.024807902,0.874846676,0.993795637,uncharacterized protein LOC111115208
gene35528,-0.707275008,5.994822129,2.163028977,0.141365783,0.865407939,uncharacterized protein LOC111111461
gene3553,0.06540504,6.512634463,0.085361424,0.770159114,0.987968907,liprin-beta-1-like isoform X1
gene35534,-0.450697817,5.20830325,0.448908678,0.502853662,0.961245791,"receptor-interacting serine/threonine-protein kinase 4-like, partial"
gene35535,-0.747810344,3.357832988,0.989230256,0.319930579,0.932260097,multiple epidermal growth factor-like domains protein 10 isoform X2
gene35538,-1.606680259,5.065460315,3.020576237,0.082214249,0.810225665,adenylosuccinate lyase-like
