LOC_ID,Gene_description,Canonical_XP,N_studies,DS1_identified,DS1_n_comparisons,DS1_comparisons,DS2_identified,DS2_n_comparisons,DS2_comparisons,DS3_identified,DS3_n_comparisons,DS3_comparisons,DS4_identified,DS4_n_comparisons,DS4_comparisons,DS5_identified,DS5_n_comparisons,DS5_comparisons
LOC111100506,uncharacterized protein LOC111100506,XP_022288162.1,2,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111100527,uncharacterized protein LOC111100527,XP_022288207.1,2,No,0,,No,0,,Yes,1,Cv_Pmarinus_infection,Yes,1,7d_fed_vs_inj,No,0,
LOC111100548,uncharacterized protein LOC111100548 isoform X2,XP_022288234.1,2,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111100571,protein DGCR6-like isoform X2,XP_022288294.1,2,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,36h_fed_vs_inj,No,0,
LOC111100582,lysine-specific demethylase 3B-like isoform X1,XP_022288326.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,No,0,,Yes,1,28d_fed_vs_inj,No,0,
LOC111100803,uncharacterized protein LOC111100803,XP_022288629.1,2,Yes,1,fam90_vs_fam84,No,0,,No,0,,Yes,1,28d_fed_vs_inj,No,0,
LOC111100804,"beta-1,3-glucan-binding protein-like",XP_022288633.1,2,Yes,2,fam90_vs_fam120; fam90_vs_fam84,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111100993,uncharacterized protein LOC111100993 isoform X2,XP_022288901.1,2,Yes,1,fam90_vs_fam84,No,0,,No,0,,Yes,1,7d_fed_vs_inj,No,0,
LOC111101070,zinc finger BED domain-containing protein 1-like,XP_022289058.1,2,Yes,1,fam90_vs_fam120,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111101163,uncharacterized protein LOC111101163 isoform X2,XP_022289219.1,2,Yes,2,fam90_vs_fam84; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111101175,proline-rich transmembrane protein 1-like,XP_022289250.1,2,Yes,1,fam90_vs_fam89,No,0,,No,0,,Yes,1,36h_fed_vs_inj,No,0,
LOC111101179,uncharacterized protein LOC111101179,XP_022289256.1,2,Yes,1,fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111101217,uncharacterized protein LOC111101217,XP_022289329.1,2,Yes,1,fam90_vs_fam120,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111101301,uncharacterized protein LOC111101301,XP_022289453.1,2,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111101316,uncharacterized protein LOC111101316,XP_022289471.1,2,No,0,,Yes,1,Pmarinus_infection,No,0,,Yes,1,28d_fed_vs_inj,No,0,
LOC111101370,uncharacterized protein LOC111101370 isoform X1,XP_022289540.1,2,No,0,,No,0,,Yes,1,Cv_Pmarinus_infection,Yes,1,6h_fed_vs_ctrl,No,0,
LOC111101379,calmodulin-like,XP_022289560.1,2,Yes,1,fam90_vs_fam120,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111101418,uncharacterized protein LOC111101418 isoform X1,XP_022289610.1,2,Yes,1,fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111101491,peroxidase-like protein 3,XP_022289717.1,2,Yes,1,fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
LOC111101544,mucin-2-like isoform X2,XP_022289777.1,2,Yes,3,fam90_vs_fam120; fam90_vs_fam84; fam90_vs_fam89,No,0,,Yes,1,Cv_Pmarinus_infection,No,0,,No,0,
