gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	source_file
LOC111107208	237.26791492	-1.290401	0.31338284	2.851473e-06	0.0003606543	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111107208	210.12284304	-1.134068	0.5018109	0.000230729	0.0180056428	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111107543	239.32630969	-1.498986	0.28807893	1.003158e-08	1.335573e-05	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111107543	233.89760542	-1.480812	0.36489702	3.132378e-06	0.0026164639	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111107827	156.12703877	-1.126043	0.37747047	7.027044e-05	0.0091362508	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111107827	153.77899978	-1.148342	0.26870644	2.51147e-06	0.000327475	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111108234	111.74834564	-1.168108	0.45251477	0.0001327324	0.0131294441	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111108234	116.7799353	-1.205327	0.31499535	9.341593e-06	0.0008592906	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111108589	153.91405735	-1.135494	0.39153269	8.084687e-05	0.0096986145	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111108589	141.68240827	-1.097547	0.27410722	7.060499e-06	0.0006990177	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111109553	245.64498003	-1.069226	0.37621342	9.604987e-05	0.0106914742	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111109553	252.81261675	-1.071247	0.26289498	5.907063e-06	0.0006098983	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111110008	121.01371558	-1.192802	0.27355844	1.610028e-06	0.0002435259	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111110008	121.45596212	-1.098781	0.40590089	0.0001184073	0.0121383635	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111110093	146.26391359	-1.099545	0.46447814	0.0002500166	0.009286959	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111110093	115.97121111	-1.165525	0.60959045	0.0003370174	0.0220952105	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111110683	79.87111688	-1.605852	0.33255719	3.558253e-08	2.673547e-05	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111110683	69.36476123	-1.502171	0.43336373	1.355803e-05	0.0042760696	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111110905	18.21675765	-1.334211	0.80059116	9.589732e-05	0.004701199	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111110905	25.64986635	-1.49097	0.89675598	4.634008e-05	0.0073084466	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111110920	481.56340536	-1.298356	0.28206906	4.228621e-07	9.904371e-05	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111110920	481.88483522	-1.245394	0.39535107	4.381437e-05	0.0070081241	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111111091	90.73652064	-1.693098	0.41450467	1.594185e-06	0.0021118719	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111111091	98.58364511	-1.735393	0.3465176	6.819168e-09	1.078111e-05	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111111254	112.68197607	1.698171	0.41865237	1.712522e-06	0.0021118719	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111111254	128.74002231	1.477722	0.36528453	1.663788e-06	0.0002475717	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111111305	656.61114366	1.167378	0.39795741	7.317003e-05	0.0093231848	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111111305	552.01315678	1.249342	0.27686988	7.36502e-07	0.0001411406	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111111627	37.08689411	-1.170614	0.64801114	0.0002948556	0.01054161	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111111627	28.41579998	-1.0384	0.82832336	0.0005648037	0.0292827984	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111111816	42.72648046	-1.624909	0.64280576	3.595643e-05	0.0065177369	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111111816	62.4939668	-1.44545	0.57490643	4.578426e-05	0.002770714	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111112295	187.19822618	-1.281937	0.31282777	3.140706e-06	0.0003856665	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111112295	186.43453836	-1.220768	0.44792599	9.623417e-05	0.0106914742	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111112418	25.62985531	-1.971451	0.33945231	1.805462e-11	4.567097e-07	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111112418	24.34890921	-1.856941	0.40668957	1.613808e-07	0.0009099055	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111112580	234.03828394	-1.089564	0.30223385	2.24818e-05	0.001634195	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111112580	217.68588517	-1.156	0.40548003	8.596852e-05	0.0101282477	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111112848	70.27767599	-1.317293	0.28882497	4.715213e-07	0.0001055995	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111112848	65.12009101	-1.10419	0.44606699	0.0001732689	0.0151229204	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111113324	45.38020566	-1.376019	0.45343558	4.192697e-05	0.006802727	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111113324	49.48797911	-1.450437	0.32519561	4.063167e-07	9.739031e-05	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111113346	66.8651105	-1.083172	0.43527078	0.0001743431	0.0151229204	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111113346	68.39341121	-1.187314	0.28242232	2.913568e-06	0.0003666747	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111114607	84.81036464	-1.452813	0.3567318	1.710217e-06	0.0002517758	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111114607	82.30329181	-1.455571	0.4940557	3.972822e-05	0.0066864959	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111114659	80.18963596	-1.991993	0.92474775	3.638442e-06	0.0004136628	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111114659	63.66691128	-1.61451	0.92561389	1.618323e-05	0.0045132234	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111114708	26.64833538	-1.35708	0.64904451	9.734456e-05	0.004735438	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111114708	19.53524181	-1.120401	0.8726556	0.0003226981	0.0215998496	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111114815	134.0768752	-1.176113	0.53384254	0.0002298817	0.0180056428	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111114815	119.85467476	-1.265253	0.35874355	1.728759e-05	0.00134556	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111115075	16.56972671	-1.435425	0.34736099	1.509576e-06	0.0002357175	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111115075	15.4715001	-1.538218	0.44566824	1.268846e-05	0.0042170644	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111115421	174.74424303	-1.548567	0.29063061	4.04206e-09	8.896895e-06	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111115421	170.71249258	-1.493231	0.35612602	1.966448e-06	0.0021118719	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111115715	127.72557772	-1.21301	0.39450437	5.304582e-05	0.0079756162	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111115715	117.74440984	-1.2385	0.27471539	7.762247e-07	0.0001454473	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111116005	138.32162052	-1.517791	0.41988127	9.375807e-06	0.0037854769	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111116005	147.11924043	-1.521798	0.3220854	9.101936e-08	4.16799e-05	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111116029	43.17618473	-1.090381	0.48059742	0.0002452074	0.0183117983	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111116029	42.79646812	-1.175167	0.31422535	1.294522e-05	0.001091752	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111116214	34.14896092	1.158112	0.88647172	0.0002523926	0.0186629839	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111116214	30.43260215	1.482696	0.66647035	4.503804e-05	0.002751889	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111116581	127.59511292	-1.231485	0.49750492	0.000138989	0.0133958118	study5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
LOC111116581	120.27897977	-1.05765	0.38540384	0.0001519316	0.006558467	study4and5_D26_treatment_control_inj_block.deseq2.results_filtered.tsv
